iter	RMSE
0	17.45451774
1	15.91203453
2	14.52015107
3	13.26362187
4	12.1175749
5	11.08203969
6	10.16469625
7	9.333429598
8	8.591636428
9	7.874851172
10	7.21869937
11	6.697424698
12	6.196372596
13	5.723498817
14	5.308629425
15	4.924873346
16	4.59312132
17	4.313474631
18	4.062165933
19	3.832303593
20	3.631547393
21	3.447856956
22	3.306712455
23	3.158522193
24	3.027981769
25	2.921403956
26	2.820006286
27	2.733554597
28	2.653791915
29	2.588213666
30	2.532211788
31	2.482145473
32	2.437092623
33	2.399670571
34	2.36531049
35	2.336821128
36	2.31176724
37	2.288452016
38	2.266677079
39	2.249869456
40	2.23374823
41	2.220231426
42	2.206647492
43	2.194451869
44	2.185758595
45	2.178188358
46	2.167522828
47	2.159428974
48	2.149384551
49	2.146228205
50	2.140559319
51	2.13555072
52	2.130456003
53	2.125261762
54	2.121231147
55	2.114960255
56	2.110754577
57	2.106032339
58	2.10295774
59	2.101734536
60	2.098914951
61	2.096971896
62	2.095182413
63	2.093581522
64	2.091910194
65	2.090191433
66	2.088537556
67	2.086917964
68	2.08564645
69	2.082923355
70	2.081803282
71	2.080602949
72	2.07939569
73	2.077715465
74	2.075419599
75	2.074023286
76	2.072842475
77	2.072152372
78	2.069467525
79	2.068413821
80	2.066993937
81	2.06630515
82	2.064155853
83	2.063273658
84	2.062215817
85	2.061071665
86	2.06078361
87	2.059886467
88	2.058529906
89	2.057182357
90	2.05646821
91	2.054836988
92	2.054219176
93	2.053535191
94	2.051666489
95	2.050900037
96	2.049696709
97	2.04789816
98	2.046321152
99	2.045240216
100	2.043656099
101	2.042522992
102	2.040736481
103	2.03930202
104	2.037545034
105	2.036587427
106	2.035239559
107	2.034198898
108	2.032883634
109	2.031972242
110	2.03119234
111	2.030012989
112	2.028697927
113	2.02767501
114	2.026499466
115	2.02560676
116	2.024289464
117	2.023572479
118	2.022921177
119	2.02225754
120	2.021784831
121	2.021049814
122	2.020061898
123	2.019176335
124	2.018501764
125	2.017825395
126	2.01719366
127	2.016242952
128	2.015404277
129	2.014794364
130	2.013860984
131	2.01314522
132	2.012201829
133	2.01144707
