iter	Passed	Remaining
0	146	72889
1	148	37058
2	150	25004
3	152	18960
4	154	15333
5	156	12912
6	159	11215
7	162	9977
8	165	9015
9	167	8208
10	169	7548
11	172	6996
12	174	6523
13	176	6125
14	179	5806
15	182	5506
16	184	5253
17	187	5015
18	189	4800
19	191	4605
20	194	4445
21	197	4287
22	199	4145
23	202	4017
24	205	3901
25	208	3796
26	210	3694
27	213	3596
28	215	3503
29	218	3420
30	220	3339
31	223	3268
32	225	3194
33	228	3129
34	231	3071
35	233	3011
36	236	2954
37	238	2904
38	241	2852
39	244	2806
40	246	2757
41	248	2711
42	251	2668
43	253	2626
44	255	2583
45	257	2543
46	259	2505
47	262	2467
48	264	2430
49	266	2398
50	268	2364
51	270	2331
52	272	2299
53	274	2268
54	276	2238
55	278	2209
56	281	2185
57	283	2160
58	285	2136
59	288	2112
60	290	2090
61	292	2067
62	294	2044
63	297	2025
64	299	2006
65	302	1987
66	304	1967
67	306	1947
68	308	1929
69	310	1909
70	313	1891
71	315	1875
72	318	1860
73	320	1843
74	322	1826
75	324	1812
76	328	1802
77	330	1788
78	333	1776
79	335	1762
80	338	1749
81	340	1735
82	342	1721
83	345	1708
84	347	1696
85	350	1685
86	352	1672
87	354	1661
88	357	1651
89	360	1640
90	362	1628
91	364	1617
92	366	1605
93	369	1594
94	371	1584
95	374	1574
96	376	1563
97	378	1552
98	380	1542
99	382	1531
100	385	1524
101	389	1518
102	393	1515
103	396	1509
104	399	1501
105	402	1494
106	404	1485
107	406	1475
108	408	1465
109	410	1456
110	413	1447
111	415	1438
112	418	1433
113	420	1425
114	423	1417
115	425	1408
116	427	1399
117	429	1390
118	431	1381
119	434	1375
120	437	1369
121	440	1363
122	443	1358
123	445	1350
124	447	1343
125	450	1335
126	452	1330
127	455	1324
128	459	1320
129	461	1314
130	464	1309
131	468	1305
132	470	1299
133	473	1292
134	475	1285
135	477	1279
136	479	1271
137	482	1264
138	484	1257
139	486	1249
140	488	1242
141	490	1235
142	492	1229
143	501	1238
144	505	1237
145	511	1239
146	514	1235
147	518	1232
148	520	1226
149	523	1221
150	527	1219
151	531	1215
152	535	1214
153	539	1213
154	544	1211
155	551	1216
156	557	1216
157	560	1212
